1,10105
2,12257
3,9208
4,5099
5,3733
6,23771
7,731
8,394
9,2038
10,664
11,487
12,2264
13,175
14,150
15,227
16,578
17,165
18,198
19,81
20,101
21,256
22,80
23,61
24,224
25,51
26,84
27,115
28,59
29,83
30,167
31,47
32,31
33,70
34,54
35,39
36,44
37,51
38,33
39,31
40,8
41,18
42,32
43,25
44,35
45,36
46,35
47,18
48,20
49,41
50,21
51,27
52,28
53,29
54,26
55,35
56,27
57,41
58,50
59,22
60,17
61,10
62,18
63,11
64,14
65,6
66,8
67,17
68,6
69,10
70,16
71,19
72,6
73,14
74,7
75,12
76,5
77,18
78,25
79,5
80,3
81,6
82,6
83,2
84,3
85,5
86,11
87,5
88,5
89,6
90,7
91,6
92,9
93,9
94,8
95,5
96,5
97,16
98,1
103,1
111,1
120,2
123,7
124,4
125,24
127,1
136,1
139,1
141,1
145,1
160,1
175,1
178,1
184,5
187,1
196,1
199,1
201,1
214,1
243,1
244,1
